id,summary
283589,Cross-mod compatibility for XNet? YNot!
975558,This mod adds many new RPG features to the game
1017777,"The chickens are tired of being slaughtered, it's time to fight back. Introducing a Chicken's Revenge."
964354,Adds and tweaks certain mechanics to suit the Arcane Horizons: The Lost World modpack
1004027,Makes more keys available for jutsu activation
1004033,Jutsu library for DecentStudio's Add-ons
951139,An Add-on mod for ALBOE!
926404,A mod full of Randomness.
990389,NTM Additions Mod
1010874,"Adds new materials, blocks and tools, all to protect you from those pesky thieves!"
920327,Just a fork of asmc for 1.7.10 targetted on performances
1012437,A simple mod to store excess food and saturation values and keep the bars topped off from this pool.
975455,Adds a block that can save you from the void.
1021403,"A addon for the Accessory Treasures mod, adds more endgame end-themed content"
987620,This mod adds food that TECHNICALLY could be added to Vanilla Minecraft with all of it's logic. All the food statistics have been mathematically calculated to be logically accurate to the vanilla game.
960488,Adds compatibiliby for FTB Team Dimensions and AdAstra
1002705,"A minecraft mod that adds more minecraft style paintings, and you can sen a request for make your painting!"
993902,Simple mod recreated from Mysticat's datapack.
971954,Add New slime and magic
1002583,"More content! (MOBS, ORES, ITEMS)"
923615,Adds items to help with admins
936193,its a mod that adds adminspace
993012,"This mod adds a lot of different in-game tools that can be used to easily maintain, for example, Essential servers."
999292,A very simple mod that adds adrenaline when your low on health. Also disables inventory for a short while
984524,This is a Minecraft mod developed by GyroZepelix. It provides additional functionality for managing custom attributes for items on players.
968838,Starting to Trade with Villagers in a Much More Advanced Way.
959354,Just kills of the advancement system :')
1014232,This mod is an updated version of Adventure Backpacks by Darkona. Main change is removing the Sneak-Scroll tool Swapping.
994929,Adds more stuff to enjoy your adventures!
1003576,A fork of a dwarven-themed addon.
1003857,This mod adds an element:Ahmoberium. Explore it to find some new things!
1022406,Adds new items for Alex's Caves🧲
990430,Makes more mobs from Alex's Mobs tamable
968841,"Thanks to this mod, you can turn your rotten flesh into leather by cooking it."
962417,Use assembled leather and golden feathers to craft an alternative to Elytras!
1013404,"A simple mod which adds some recipes that are missing in Vanilla Minecraft, maded on Mc Creator"
1022913,This mod gives you more variety of tools and armour
1010998,Adds the Alpha Version Indicator to the latest versions of Minecraft!
927048,adds amazing new music discs
977627,"Adds various different Ambers to the game, some having unique properties."
959100,A Library Mod For My Mods
970015,Adds creatures from the past on their modern appearances.
946582,for your combat needs
1000706,A standalone version of the Kangaroo origin from the animal origins modpack!
1000707,A standalone version of the Monkey origin from the animal origins modpack!
977148,"A simple mod that helps with loading animations for other mods, or for vanilla animations."
1028436,Smooth and interactive animations. Customizable and compatible!
989879,Mod that adds Emote's to the game
948212,"The Mod That Brings More Fun, Gear, Armor and more!"
998510,This mod adds simple coins
981687,With this mod Nether Stars are getting craftable!
904782,Adds 3 new Ores 1 for each Vanilla Dimension
981942,1x1 bedrock destroyer that works kinda like the vanilla glitches
923947,Beem is a simple client sided mod that marks bee nests with a light beam in order to help players in finding them.
944428,This mod adds new villager professions to the game 
968880,Adds New Vanilla Like Achievements
1012357,A mod that adds in different items and weapons from Bendy
1005985,this mod will allow you to go beyond the basic ore of minecraft
1000794,Adds a Vanilla-Friendly Berry Jam Item!
1017275,This mod attempts at making the mace more balanced
918534,Bringing the Bronze Age back to Minecraft.
989090,Better compatibility between better combat and other mods
974729,Adds more useful recipes to enhance the create mod!
912332,Improves some vanilla interactions
949471,Better Painting is a mod for add some things in minecraft !
971887,Makes early game progression slightly more difficult
918562,Bringing the Steel Age back to Minecraft.
1011879,"a mod that uses better than wolves elements, and some new ones two."
1023978,Were you ever tired there are not existing any taiga structures? Then I have a solution! This mod contains a 10 new structures what made a taiga better biome!
1004618,Adds half life 1 type movement
924701,Adds in an origins power that enables the player to bunnyhop.
954771,Gigantic Big Storage Barrel
961371,mod that add tweaks and bugfixes for my modpack : Biggess Pack Cat Edition
1011049,Adds a dimension for every biome in minecraft.
940356,Biomes Barkover drops bark from Biomes Markover trees when they are debarked.
915022,This mod adds a dimension with other loot to make you overpowered
1013036,Here you must try to forage and awaken the Blade of Chaos
995094,a small mod that adds a pair of blades and gloves
905545,"With Blink Dagger, effortlessly teleport across the world"
1017131,"Just a block breaker that gives you the block above it, can only be given by commands"
968804,Add alot of block and entities from the backrooms to scare your friends.
1027340,Parry and rolling systems from Deepwoken Craft as a standalone mod
967349,Disable right click!
976546,Adds Blood Vial from Bloodborne to Minecraft
961199,"This mod adds blood, rituals, and much more to Minecraft. Этот мод добавляет кровь, ритуалы, и многое другое"
1028087,A dungeons and dragons style mod that adds classes and races as well as a skill tree to progress through (135+ unique skills)
940833,Blue Skies Bark drops bark from Blue Skies trees when they are debarked.
976985,a mod that adds random stuff like blue dinosaurs and dimensions
968002,A cat made of blueberry shortcake
900688,500+ Advancements for your world!
978970,Stops entities from being deleted if riding a boat on a chunk border
1015497,rotates  boats to the players direction upon getting in
913110,The name is a lie. This mod is a small one. Adds bob and his shenanigans
975771,adds a crafting recipe for elytras!
1023578,"This mod adds some ""personalities"" and villains and will give ""My Hero Academia"" fans a fun experience."
941204,"Do you like sketching? TOO FEW CLASSES AND NO CLASSES, we'll fix that, SKY, DARK, MAGNETIC CLASS."
1013246,Border Marks is a Minecraft mod that allows players to place boundary markers in the game world. Easily mark the boundaries of your settlement or building area!
917880,OP Swords to one-hit Minecraft Bosses
1018466,This resource pack changes JEI GUI textures to match Jicklus
238222,View Items and Recipes
388172,"A 3D animation library for entities, blocks, items, armor, and more!"
499003,To be repurposed
990630,A mod that adds bouncy balls!
1027489,"Missions, Medallions, and much more!"
974824,"Expansion of the mod Bounties and Coins, adds a trader for end game items"
1015711,"Just a mod I made for a server, uploaded to Curseforge for ease of sharing"
993623,This mod adds new mob robot vacuum cleaner.
990043,"Rocket Mounts transforms your trusty steeds into soaring companions, allowing you to propel through the skies with the exhilaration of rocket-powered flight, akin to the famed Elytra"
1001374,A mod to add rotating beacons.
1009488,You can now smelt Rotten Flesh into Leather!
976586,Adds Katanas
1007443,"I fixed the problem people had with rubidium crashing due to fluid render. I did this as I figured out a work around to load oculus, this mod, and immersive portals with o problems all for the sake of my modpack. so hope that helps you guys."
1027811,Bringing the ores armors and weapons from Gielinor to Minecraft!
911886,A mod wich allows you to create runes
997056,A few Sleep Deprived-related mods for max silliness
1023040,This is a adventure mod based on the theme of Saint Seiya
1014126,A Saiyan addon for Origins
927921,A mod that adds some semi-vanilla enchantments
924731,"Himalayan-style salt lamps, with a Minecraft twist! A continuation of goldelf123's Salt Lamps"
990297,add new type of sand and new wearpon and armor
995396,A Structure Mod with a Ruined Theme
984003,"A food mod adding British based food. Including a new crop, new mob drops and a whole bunch of new foods."
983942,Enables Community Mode for Scriptor Magicae
1015081,"Adds the infamous ""unused"" Scripulous Fingore"
994422,Let's explore the ocean
918129,A new entity for the deep dark
902335,A mod that adds Copper Tools
1010006,"Enhance your gaming experience with an exclusive range of new weapons, tools, and armor"
1024412,Adds a secret menu that makes it so that you can do op things without anyone knowing.
933642,Added the ability to selectively share a progress between server players
996188,Self destruct like in TF2 on press of a keybind.
1028092,Adds vanilla friendly 4 backpacks.
1027959,Enhanced Golden Apples
923180,A mod aimed towards creating the hardest material yet!
992139,"Adds a new mineral to the game, with its armor, tools, and blocks Agrega un nuevo mineral al juego, con su armadura, herramientas, y bloques"
1009732,Adds shark-themed tulips! Great for shark and flower lovers! 
980700,This mod adds shelving to Minecraft.
1024977,Adds a passive Shield of Absorption Hearts that regens when out of Combat
931442,Add glowing ladders to Minecraft!
1015136,This mod adds a pack of new enchantements to the game
980833,OpenShock Minecraft Integration
1003572,This is the Shoe Shaped Dalek Mod (It adds a shoe shaped dalek)
965160,Adds short sword variants that have more attack speed and less damage
991950,Shorter Commands for Weather
1022755,A client-side forge mod that makes it easier to perform the shulker dupe.
1004390,This modification adds some smal additions to the shulker mob without changing anything else in the game!
