id,description
AANobbMI,A modern rendering engine for Minecraft which greatly improves performance
P7dR8mSH,Lightweight and modular API providing common hooks and intercompatibility measures utilized by mods using the Fabric toolchain.
YL57xq9U,A modern shaders mod for Minecraft intended to be compatible with existing OptiFine shader packs
9s6osm5g,Configuration Library for Minecraft Mods
mOgUt4GM,Adds a mod menu to view the list of mods you have installed.
gvQqBUqZ,No-compromises game logic/server optimization mod
NNAgCjsB,Using async path-tracing to hide Block-/Entities that are not visible
uXXizFIs,Memory usage optimizations
Ha28R6CL,This is a mod that enables usage of the Kotlin programming language for Fabric mods.
Orvt0mRa,"Sodium addon providing support for the Fabric Rendering API, based on Indigo"
lhGA9TYQ,An intermediary api aimed to ease developing multiplatform mods.
PtjYWJkn,A Sodium addon that adds features that shouldn't be in Sodium.
5ZwdcRci,Speed up immediate mode rendering in Minecraft
Bh37bMuy,Alternative Options Menu for Sodium
1eAoo2KR,A builder-based configuration library for Minecraft.
NRjRiSSD,A mod that fixes random memory leaks for both the client and server
1IjD5062,A Fabric mod that allows for efficient connected textures
EsAfCjCV,Food/hunger-related HUD improvements
LQ3K71Q1,Reduce resource usage while Minecraft is in the background or idle.
MPCX6s5C,Bringing first-person animations to the third-person
9eGKb6K1,A working voice chat in Minecraft!
yBW8D80W,A dynamic lights mod for Fabric.
1bokaNcj,"Displays a map of the nearby world terrain, players, mobs, entities in the corner of your screen. Lets you create waypoints which help you find the locations you've marked."
hvFnDODi,Makes the game boot faster by deferring non-essential initialization
51shyZVL,A mod that changes how multiple types of culling are handled in order to improve performance
BVzZfTc1,"Emissive, Random & Custom texture support for entities in resourcepacks just like Optifine but for Fabric"
NcUtCpym,Adds a full screen world map which shows you what you have explored in the world. Works great together with Xaero's Minimap.
H8CaAYZC,Rewrites the light engine to fix lighting performance and lighting errors
nmDcB62a,"All-in-one mod that improves performance, reduces memory usage, and fixes many bugs. Compatible with all your favorite performance mods!"
fQEb0iXm,A mod to optimize the Minecraft networking stack
w7ThoJFB,A zoom mod with infinite customizability.
zV5r3pPn,Render the player skin layer in 3d!
qQyHxfxd,Makes chat unreportable (where possible)
e0M1UDsY,🎓 Collective is a shared library with common code for all of Serilum's mods.
